Event Identifier,Event Name,Event Record,First Date Year,First Date,Last Date,Venue Identifier,Venue Name,Suburb,State,Country,Latitude,Longitude,Primary Genre,Secondary Genre,Organisations,Subjects,Contributor Count,Resource Count,Works,,,
438,Guerin / Serle / Forsythe,https://ausstage.edu.au/pages/event/438,2013,28/5/2013,1/6/2013,20515,Opéra Nouvel,Lyon,O/S,France,45.767746,4.836021,Dance,,Ballet de l'Opéra de Lyon,,6,7,"Black Box, One Flat Thing, Reproduced, Sync",,,
1512,Dreams in an Empty City,https://ausstage.edu.au/pages/event/1512,1988,8/9/1988,,665,Lyric Hammersmith,Hammersmith,O/S,England,51.493026,-0.226502,Theatre - Spoken Word,,,,10,1,Dreams in an Empty City,,,
1566,Emerald City,https://ausstage.edu.au/pages/event/1566,1988,29/11/1988,,673,Perry Street Theater,New York,O/S,United States of America,40.735872,-74.002481,Theatre - Spoken Word,,The New York Theatre Workshop,,9,5,Emerald City,,,
1890,Emerald City,https://ausstage.edu.au/pages/event/1890,1988,9/5/1988,,709,Lyric Theatre,Leicester,O/S,England,51.511291,-0.13349,Theatre - Spoken Word,Drama,Sydney Theatre Company,,13,8,Emerald City,,,
1934,Summer of the 17th Doll & Away,https://ausstage.edu.au/pages/event/1934,1988,22/7/1988,,714,Pepsico Summerfare New York,New York,O/S,United States of America,40.717081,-73.962879,Theatre - Spoken Word,Drama,"Sydney Theatre Company, Pepsico Summerfare",,12,4,"Away, Summer of the Seventeenth Doll",,,
12650,Greek Tragedy,https://ausstage.edu.au/pages/event/12650,1990,13/8/1990,,2844,Church Hill Theatre,Edinburgh,O/S,Scotland,55.932662,-3.209705,Theatre - Spoken Word,,"Company B Belvoir, Theatre Royal, Stratford East",Migrants,10,9,Greek Tragedy,,,
14712,Face to Face,https://ausstage.edu.au/pages/event/14712,2002,9/5/2002,12/5/2002,10715,Sao Paulo,Sao Paulo,O/S,Brazil,-23.541,-46.645,Theatre - Spoken Word,,"Perth Theatre Company, Ensemble Theatre Pty Ltd",,12,0,Face to Face,,,
14911,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/14911,1957,30/4/1957,,3026,New Theatre,London,O/S,England,51.511111,-0.127222,Theatre - Spoken Word,,"The Australian Elizabethan Theatre Trust, The St. James Players",,11,12,Summer of the Seventeenth Doll,,,
14917,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/14917,1957,8/4/1957,,3028,"Theatre Royal, Nottingham",Nottinghamshire County,O/S,England,52.955507,-1.151659,Theatre - Spoken Word,,"The Australian Elizabethan Theatre Trust, The St. James Players",,11,0,Summer of the Seventeenth Doll,,,
14924,Summer of The Seventeenth Doll,https://ausstage.edu.au/pages/event/14924,1958,31/3/1958,,3031,The Golders Green Hippodrome,Barnet,O/S,England,51.571709,-0.193398,Theatre - Spoken Word,Drama,"Carl Clopet Productions, Harold French Ltd",,10,1,Summer of the Seventeenth Doll,,,
14925,Summer of the Seventeenth Doll,https://ausstage.edu.au/pages/event/14925,1958,1958-09,,3032,The Fireside Theatre,Garden City,O/S,United States of America,40.759381,-73.975092,Theatre - Spoken Word,Drama,The Australian Elizabethan Theatre Trust,,9,0,Summer of the Seventeenth Doll,,,
